時間t[s],T[mV],ΔT[mV],ΔT2-ΔT1
15,967,6,
30,969,5,-1
45,971,4,-1
60,978,2,-2
75,996,-4,-6
90,1028,-10,-6
105,1060,-12,-2
120,1090,-9,3
135,1111,-5,4
150,1128,-3,2
165,1141,-2,1
180,1156,-2,0
195,1175,-5,-3
210,1198,-6,-1
225,1221,-7,-1
240,1244,-6,1
255,1266,-6,0
270,1284,-5,1
285,1302,-4,1
300,1319,-4,0
315,1341,-4,0
330,1361,-5,-1
345,1382,-5,0
360,1403,-5,0
375,1424,-5,0
390,1444,-4,1
405,1465,-4,0
420,1483,-4,0
435,1502,-4,0
450,1521,-4,0
465,1542,-4,0
480,1563,-5,-1
495,1584,-5,0
510,1605,-5,0
525,1625,-4,1
540,1644,-4,0
555,1662,-4,0
570,1682,-4,0
585,1702,-5,-1
600,1725,-5,0
615,1745,-5,0
630,1766,-5,0
645,1785,-5,0
660,1805,-4,1
675,1824,-4,0
690,1844,-4,0
705,1865,-5,-1
720,1887,-6,-1
735,1907,-5,1
750,1927,-5,0
765,1947,-7,-2
780,1967,-4,3
795,1985,-5,-1
810,2005,-6,-1
825,2027,-6,0
840,2047,-6,0
855,2068,-6,0
870,2086,-6,0
885,2108,-6,0
900,2127,-7,-1
915,2148,-8,-1
930,2171,-8,0
945,2192,-8,0
960,2210,-8,0
975,2229,-8,0
990,2250,-8,0
1005,2270,-8,0
1020,2290,-9,-1
1035,2312,-9,0
1050,2332,-10,-1
1065,2352,-10,0
1080,2372,-10,0
1095,2392,-11,-1
1110,2412,-12,-1
1125,2431,-14,-2
1140,2453,-14,0
1155,2474,-17,-3
1170,2494,-18,-1
1185,2514,-21,-3
1200,2535,-23,-2
1215,2554,-26,-3
1230,2575,-30,-4
1245,2595,-34,-4
1260,2616,-40,-6
1275,2635,-46,-6
1290,2655,-53,-7
1305,2676,-61,-8
1320,2696,-70,-9
1335,2716,-81,-11
1350,2739,-94,-13
1365,2759,-106,-12
1380,2780,-114,-8
1395,2801,-120,-6
1410,2820,-130,-10
1425,2840,-140,-10
1440,2860,-154,-14
1455,2882,-162,-8
1470,2904,-139,23
1485,2925,-101,38
1500,2944,-47,54
1515,2962,-22,25
1530,2983,-11,11
1545,3002,-6,5
1560,3024,-4,2
1575,3046,-3,1
1590,3066,0,3
1605,3085,0,0
1620,3104,0,0
1635,3123,-1,-1
1650,3144,-1,0
1665,3166,-1,0
1680,3186,-1,0
1695,3206,-1,0
1710,3227,-1,0
1725,3247,-1,0
1740,,,1
1755,,,0
1770,,,0
1785,,,0
1800,,,0
1815,,,0
1830,,,0
1845,,,0
1860,,,0
1875,,,0
1890,,,0
1905,,,0
1920,,,0
1935,,,0
1950,,,0
1965,,,0
1980,,,0
1995,,,0
2010,,,0
2025,,,0
2040,,,0
2055,,,0
2070,,,0
2085,,,0
2100,,,0
2115,,,0
2130,,,0
2145,,,0
2160,,,0
2175,,,0
2190,,,0
2205,,,0
2220,,,0
2235,,,0
2250,,,0
2265,,,0
2280,,,0
2295,,,0
2310,,,0
2325,,,0
2340,,,0
2355,,,0
2370,,,0
2385,,,0
2400,,,0
